Year,Class_ID,Class_Name,Pixel_Count,Area_km2,Percentage_of_District
2017,1,Class 1,20901,169.29809999999998,2.47938295974339
2017,2,Class 2,312048,2527.5888,37.01672139237383
2017,4,Class 4,9687,78.4647,1.1491212253497067
2017,5,Class 5,125231,1014.3711,14.855538368098392
2017,7,Class 7,39592,320.6952,4.6966044754873115
2017,8,Class 8,297,2.4057,0.035231651071421795
2017,11,Class 11,335236,2715.4116,39.76739992787594
2018,1,Class 1,20873,169.07129999999998,2.476061457285478
2018,2,Class 2,270630,2192.103,32.103507506595555
2018,4,Class 4,7736,62.6616,0.9176836790859225
2018,5,Class 5,107358,869.5998,12.735352174160608
2018,7,Class 7,48840,395.604,5.793649287300473
2018,8,Class 8,257,2.0817,0.030486647560119196
2018,11,Class 11,387298,3137.1137999999996,45.943259248011834
2019,1,Class 1,19832,160.6392,2.352572740903828
2019,2,Class 2,213098,1726.0937999999999,25.278768956289024
2019,4,Class 4,8882,71.9442,1.0536280296847418
2019,5,Class 5,120600,976.8599999999999,14.306185586577332
2019,7,Class 7,52873,428.2713,6.272064266327557
2019,8,Class 8,258,2.0898,0.030605272647901756
2019,11,Class 11,427449,3462.3369,50.70617514756961
2020,1,Class 1,21167,171.4527,2.5109372330935527
2020,2,Class 2,249697,2022.5457,29.62032854404312
2020,4,Class 4,8259,66.89789999999999,0.9797245999962039
2020,5,Class 5,109739,888.8859,13.017798508170895
2020,7,Class 7,53832,436.0392,6.385825725511037
2020,8,Class 8,206,1.6685999999999999,0.02443676808320838
2020,11,Class 11,400092,3240.7452,47.46094862110197
2021,1,Class 1,21032,170.3592,2.494922846242906
2021,2,Class 2,269865,2185.9065,32.012759314441894
2021,4,Class 4,8242,66.7602,0.9777079735039003
2021,5,Class 5,96960,785.376,11.501888511397498
2021,7,Class 7,49808,403.4448,5.908478372273994
2021,8,Class 8,209,1.6928999999999998,0.024792643346556075
2021,11,Class 11,396876,3214.6956,47.07945033879325
2022,1,Class 1,20870,169.047,2.475705582022131
2022,2,Class 2,294714,2387.1834,34.960474120750845
2022,4,Class 4,7654,61.9974,0.9079564218877522
2022,5,Class 5,101310,820.611,12.017907643251657
2022,7,Class 7,58752,475.89119999999997,6.9694611574012555
2022,8,Class 8,175,1.4175,0.02075939036194887
2022,11,Class 11,359517,2912.0877,42.64773568432441
2023,1,Class 1,20957,169.7517,2.4860259646592135
2023,2,Class 2,275303,2229.9543,32.65784254180348
2023,4,Class 4,6764,54.788399999999996,0.8023800937612693
2023,5,Class 5,106630,863.703,12.648993110254901
2023,7,Class 7,62764,508.3884,7.445385009584906
2023,8,Class 8,200,1.6199999999999999,0.023725017556512993
2023,11,Class 11,370374,3000.0294,43.935648262379715
2024,1,Class 1,20651,167.2731,2.449726687797749
2024,2,Class 2,249377,2019.9536999999998,29.582368515952698
2024,4,Class 4,5894,47.7414,0.6991762673904378
2024,5,Class 5,101219,819.8738999999999,12.007112760263443
2024,7,Class 7,68290,553.149,8.100907244671362
2024,8,Class 8,222,1.7981999999999998,0.02633476948772942
2024,11,Class 11,397339,3218.4458999999997,47.134373754436574
